LAMMPS data file via write_data, version 29 Oct 2020, timestep = 150

3000 atoms
3 atom types

2.1284913722067635 36.06297076945287 xlo xhi
2.1221008781267656 36.069361263533864 ylo yhi
2.0923258704603853 36.099136271198056 zlo zhi

Masses

1 22.9898
2 28.0855
3 15.9994

Atoms # charge

1537 3 -1.2 4.61225 7.84552 8.08833 -2 0 1
1171 2 2.4 5.53997 8.68638 8.87058 0 0 2
976 2 2.4 7.21335 4.25718 4.85554 -2 1 3
1907 3 -1.2 8.08928 7.30571 7.83202 -1 0 2
2017 3 -1.2 5.97514 10.2006 8.05601 -2 0 1
2459 3 -1.2 8.53067 4.8648 8.68449 2 1 0
1228 2 2.4 8.48392 3.45746 9.28535 -1 1 1
1070 2 2.4 9.05804 6.19873 8.00682 0 2 1
2514 3 -1.2 8.081 5.56832 4.31235 -2 0 2
1759 3 -1.2 6.2668 5.05677 5.77807 0 2 2
2952 3 -1.2 6.20281 3.54493 3.75524 -1 0 -1
665 2 2.4 3.45055 8.10199 3.34947 0 -1 -1
2775 3 -1.2 8.29377 3.1725 5.37007 0 -1 -1
1563 3 -1.2 3.55135 7.42736 4.85682 0 -1 0
2513 3 -1.2 4.66969 8.89743 2.81021 1 0 0
306 1 0.6 9.37119 7.61905 4.84559 -4 -10 8
1590 3 -1.2 9.50297 5.99659 6.50313 -1 -2 1
494 1 0.6 9.94115 8.90976 7.79769 8 6 7
2297 3 -1.2 3.25946 6.77833 2.45368 -2 -1 2
2598 3 -1.2 9.73967 3.1718 10.1141 1 -2 0
89 1 0.6 6.68902 7.20679 6.18909 -7 -4 6
462 1 0.6 6.53587 8.13803 3.84876 -1 -6 -3
1562 3 -1.2 7.28461 3.33168 10.2658 0 2 -1
2406 3 -1.2 3.46777 3.00942 2.61983 0 2 -1
1544 3 -1.2 8.48287 8.41937 3.02964 0 0 0
1799 3 -1.2 6.60612 8.03392 9.75493 -1 2 2
2685 3 -1.2 6.86873 9.39801 5.69205 1 -1 1
35 1 0.6 4.3097 6.29306 6.53919 3 -19 -3
1938 3 -1.2 4.76341 9.6303 9.99031 -2 0 -1
2805 3 -1.2 8.56874 2.57463 7.96468 -1 1 2
553 1 0.6 6.55022 5.47968 9.17607 4 -14 3
542 1 0.6 3.45928 9.15786 6.18362 7 1 5
357 1 0.6 3.4684 5.05403 4.29987 -4 6 11
375 1 0.6 8.29115 5.9323 2.2479895992623327 4 0 26
2470 3 -1.2 2.14508 5.06407 6.48818 -12 3 1
2151 3 -1.2 4.80385 3.13095 9.44372 1 0 0
208 1 0.6 4.75725 3.12942 7.22816 6 3 -5
1446 3 -1.2 10.3225 6.87619 8.77832 -2 -1 1
153 1 0.6 11.2068 10.7324 3.86634 -2 -11 -8
378 1 0.6 35.3892 7.61725 7.841 9 3 1
516 1 0.6 4.66045 35.7977 4.12674 1 -10 5
301 1 0.6 8.25405 2.61577 3.0024 5 13 7
709 2 2.4 6.07653 10.6754 6.56047 -3 1 -1
2264 3 -1.2 2.41012 9.31385 3.61309 32 -1 -2
1028 2 2.4 8.91139 35.9744 6.45848 2 1 -1
1111 2 2.4 5.89517 2.35733 10.4275 0 0 0
37 1 0.6 2.64298 2.22001 9.8894 7 10 8
